PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;351992280;351992280;N20021;OSETH;Def;N20021;OSETH;Def;05:10:00;05:40:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;168221262;168221262;N20021;OSETH;Def;N20021;OSETH;Def;05:10:00;05:40:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;380576116;380576116;N20021;OSETH;Def;N20021;OSETH;Def;05:45:00;06:15:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;821693867;821693867;N20021;OSETH;Def;N20021;OSETH;Def;05:45:00;06:15:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;635948506;635948506;N20021;OSETH;Def;N20021;OSETH;Def;06:20:00;06:50:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;127859167;127859167;N20021;OSETH;Def;N20021;OSETH;Def;06:20:00;06:50:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;970513523;970513523;N20021;OSETH;Def;N20021;OSETH;Def;07:00:00;07:30:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;595789873;595789873;N20021;OSETH;Def;N20021;OSETH;Def;07:00:00;07:30:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;491222973;491222973;N20021;OSETH;Def;N20021;OSETH;Def;07:35:00;08:05:00;;5301_1
Day Type 5;T_Depot;5301;5301;Revenue;53;KTEL_T;Def;807652537;807652537;N20021;OSETH;Def;N20021;OSETH;Def;07:35:00;08:05:00;;5301_1
