VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 2;0701_1;744609412;VB_Piece;0701;;;N45128;OSETH;Def;N45128;OSETH;Def;05:10:00;12:58:00
VERSION_U;Foinika;Day Type 2;0701_2;221743120;VB_Piece;0701;;;N45128;OSETH;Def;N45128;OSETH;Def;13:08:00;21:12:00
VERSION_U;Foinika;Day Type 2;0702_1;518662725;VB_Piece;0702;;;N45128;OSETH;Def;N45128;OSETH;Def;05:30:00;13:14:00
VERSION_U;Foinika;Day Type 2;0702_2;622531061;VB_Piece;0702;;;N45128;OSETH;Def;N45128;OSETH;Def;13:28:00;21:32:00
VERSION_U;Foinika;Day Type 2;0703_1;656239566;VB_Piece;0703;;;N45128;OSETH;Def;N45128;OSETH;Def;05:50:00;13:45:00
VERSION_U;Foinika;Day Type 2;0703_2;889380809;VB_Piece;0703;;;N45128;OSETH;Def;N1141;OSETH;Def;14:08:00;21:51:00
VERSION_U;Foinika;Day Type 2;0704_1;535860342;VB_Piece;0704;;;N45128;OSETH;Def;N45128;OSETH;Def;06:10:00;14:01:00
VERSION_U;Foinika;Day Type 2;0704_2;840466561;VB_Piece;0704;;;N45128;OSETH;Def;N1141;OSETH;Def;17:18:00;24:30:00
VERSION_U;Foinika;Day Type 2;0705_1;505715406;VB_Piece;0705;;;N45128;OSETH;Def;N45128;OSETH;Def;07:00:00;15:15:00
VERSION_U;Foinika;Day Type 2;0705_2;831642756;VB_Piece;0705;;;N45128;OSETH;Def;N45128;OSETH;Def;15:28:00;23:19:00
VERSION_U;Foinika;Day Type 2;0706_1;159920736;VB_Piece;0706;;;N45128;OSETH;Def;N45128;OSETH;Def;07:45:00;15:52:00
VERSION_U;Foinika;Day Type 2;0706_2;133314529;VB_Piece;0706;;;N45128;OSETH;Def;N45128;OSETH;Def;16:08:00;24:18:00
VERSION_U;Foinika;Day Type 2;1401_1;303611867;VB_Piece;1401;;;N15006;OSETH;Def;N15006;OSETH;Def;05:00:00;12:27:00
VERSION_U;Foinika;Day Type 2;1401_2;820054695;VB_Piece;1401;;;N15006;OSETH;Def;N15006;OSETH;Def;12:45:00;20:40:00
VERSION_U;Foinika;Day Type 2;1402_1;147857395;VB_Piece;1402;;;N15006;OSETH;Def;N15006;OSETH;Def;05:20:00;12:40:00
VERSION_U;Foinika;Day Type 2;1402_2;671508548;VB_Piece;1402;;;N15006;OSETH;Def;N15006;OSETH;Def;13:15:00;21:03:00
VERSION_U;Foinika;Day Type 2;1403_1;583813390;VB_Piece;1403;;;N15006;OSETH;Def;N15006;OSETH;Def;05:40:00;13:06:00
VERSION_U;Foinika;Day Type 2;1403_2;710715855;VB_Piece;1403;;;N15006;OSETH;Def;N15006;OSETH;Def;15:00:00;22:40:00
VERSION_U;Foinika;Day Type 2;1404_1;287143989;VB_Piece;1404;;;N15006;OSETH;Def;N15006;OSETH;Def;06:00:00;13:44:00
VERSION_U;Foinika;Day Type 2;1404_2;598147776;VB_Piece;1404;;;N15006;OSETH;Def;N15006;OSETH;Def;15:30:00;23:09:00
VERSION_U;Foinika;Day Type 2;1405_1;790324993;VB_Piece;1405;;;N15006;OSETH;Def;N15006;OSETH;Def;07:06:00;14:55:00
VERSION_U;Foinika;Day Type 2;1405_2;349608295;VB_Piece;1405;;;N15006;OSETH;Def;N15006;OSETH;Def;16:00:00;23:52:00
VERSION_U;Foinika;Day Type 2;1406_1;750115995;VB_Piece;1406;;;N15006;OSETH;Def;N15006;OSETH;Def;07:33:00;15:24:00
VERSION_U;Foinika;Day Type 2;1406_2;873720497;VB_Piece;1406;;;N15006;OSETH;Def;N15006;OSETH;Def;16:45:00;24:11:00
VERSION_U;Foinika;Day Type 2;1407_1;184321995;VB_Piece;1407;;;N15006;OSETH;Def;N15006;OSETH;Def;08:09:00;15:54:00
VERSION_U;Foinika;Day Type 2;1407_2;591189360;VB_Piece;1407;;;N15006;OSETH;Def;N15006;OSETH;Def;17:12:00;24:40:00
VERSION_U;Foinika;Day Type 2;1408_1;177094347;VB_Piece;1408;;;N15006;OSETH;Def;N15006;OSETH;Def;08:44:00;16:39:00
VERSION_U;Foinika;Day Type 2;1408_2;203349265;VB_Piece;1408;;;N15006;OSETH;Def;N1337;OSETH;Def;17:24:00;24:33:00
